period,period_type,period_label,area_code,area_name,ind_pet,dom_pet,rail_pet,pub_adm_pet,comm_pet,agric_pet,ind_coal,dom_coal,rail_coal,pub_adm_coal,comm_coal,agric_coal,ind_man_sol_fuel,dom_man_sol_fuel,ind_bio_and_waste,dom_bio_and_waste,observation,measure,unit
2021-01-01t00-00-00/p1y,Calender year,2021,W06000019,Blaenau Gwent,4.4,0.4,0.1,0.0,0.0,0.1,0.9,1.0,0.0,0.0,0.0,0,0.2,0.5,4.1,1.7,13.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000013,Bridgend,10.1,1.7,1.7,0.0,0.1,2.1,4.6,1.9,0.0,0.1,0.0,0,18.4,1.0,10.0,3.4,55.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000018,Caerphilly,14.1,1.6,0.9,0.0,0.1,1.9,3.1,2.6,0.0,0.1,0.0,0,0.2,1.4,8.1,4.6,38.7,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000015,Cardiff,15.2,1.1,3.2,0.1,0.2,0.9,0.4,4.2,0.0,0.5,0.1,0,12.7,2.1,3.3,6.6,50.8,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000010,Carmarthenshire,13.1,40.0,1.7,0.0,0.1,36.0,0.5,2.6,0.0,0.1,0.1,0,3.5,1.4,1.6,5.4,106.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000008,Ceredigion,6.9,25.1,0.1,0.0,0.1,23.1,0.2,1.2,0.3,0.1,0.0,0,0.0,0.7,21.5,2.9,82.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000003,Conwy,5.2,7.7,1.3,0.0,0.1,5.8,0.7,1.7,0.0,0.0,0.0,0,0.0,0.9,2.5,3.1,29.1,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000004,Denbighshire,11.3,10.6,0.4,0.0,0.1,6.7,0.6,1.4,0.2,0.1,0.0,0,0.0,0.8,2.4,2.9,37.3,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000005,Flintshire,34.1,14.9,1.5,0.0,0.1,4.8,43.5,2.0,0.0,0.0,0.0,0,11.3,1.0,112.7,3.6,229.6,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000002,Gwynedd,14.7,23.3,0.5,0.0,0.2,14.4,0.5,1.9,1.1,0.2,0.1,0,0.0,1.1,1.8,4.9,64.6,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,W06000001,Isle of Anglesey,5.0,16.7,0.8,0.0,0.1,11.4,1.6,1.0,0.0,0.0,0.0,0,0.0,0.6,6.3,2.5,46.1,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
